,INSTNM,CITY,ZIP,INSTURL,FEMALE_COMP_ORIG_YR4_RT,MALE_COMP_ORIG_YR4_RT
5684,Pyramid Career Institute,Chicago,60657-4207,,PrivacySuppressed,PrivacySuppressed
5685,Lincoln Technical Institute-Brockton,Brockton,02301-1818,,0.604046243,0.616666667
5686,Mildred Elley-Pittsfield Campus,Pittsfield,01201-5300,,0.43207127,0.341463415
5687,Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,32114-3900,,0.071823204,0.05809575
5688,Merkaz Bnos-Business School,Brooklyn,11214,,PrivacySuppressed,PrivacySuppressed
5689,Lia Schorr Institute of Cosmetic Skin Care Training,New York,10019,,PrivacySuppressed,PrivacySuppressed
5690,ITT Technical Institute-Webster,Webster,77598,,0.42,0.462167689
5691,CET-Alexandria,Alexandria,22312,,0.327142857,0.257062147
5692,CET-Durham,Durham,27701,,0.327142857,0.257062147
5693,Aviation Institute of Maintenance-Chesapeake,Chesapeake,23320,,0.434782609,0.39375
5694,Centura College-Richmond Main,Richmond,23235-5250,,0.447432763,0.460176991
5695,Technical Education Center-Osceola,Kissimmee,34744,,PrivacySuppressed,PrivacySuppressed
5696,Miami Ad School-Wynwood,Miami,33127,,PrivacySuppressed,PrivacySuppressed
5697,Green Country Technology Center,Okmulgee,74447,,PrivacySuppressed,PrivacySuppressed
5698,Askins Vo-Tech,Fort Smith,72908,,PrivacySuppressed,PrivacySuppressed
5699,Nova College de Puerto Rico,Bayamon,00960,,PrivacySuppressed,PrivacySuppressed
5700,Styles and Profiles Beauty College,Selmer,38375,,PrivacySuppressed,PrivacySuppressed
5701,Kaplan Career Institute,Albuquerque,87109,,PrivacySuppressed,PrivacySuppressed
5702,Santa Barbara College of Oriental Medicine,Santa Barbara,93101-8455,,PrivacySuppressed,PrivacySuppressed
5703,John Wesley International Barber and Beauty College,Long Beach,90813,,PrivacySuppressed,PrivacySuppressed
5704,Platt College-Lawton,Lawton,73501,,PrivacySuppressed,PrivacySuppressed
5705,Southeastern College-West Palm Beach,West Palm Beach,33411,,0.593360996,0.548837209
5706,Ottawa University-Milwaukee,Brookfield,53005,,0.214678899,0.12386707
5707,Argosy University-Tampa,Tampa,33607,,0.115519253,0.223463687
5708,The Illinois Institute of Art-Schaumburg,Schaumburg,60173-4913,,0.427701674,0.382405745
5709,Cambria-Rowe Business College-Indiana,Indiana,15701,,0.520737327,0.366666667
5710,Klamath Community College,Klamath Falls,97603-7121,,PrivacySuppressed,PrivacySuppressed
5711,The Art Institute of Phoenix,Phoenix,85021-2859,,0.259052925,0.168949772
5712,Academia Vocational Del Turabo,Caguas,00725,,PrivacySuppressed,PrivacySuppressed
5713,Michigan Theological Seminary,Plymouth,48170,,PrivacySuppressed,PrivacySuppressed
